Time Points,Input Data,Structure,Epochs,Training Time (mins),Loss Observation,Loss Delta,Loss K,Loss T3, Corr T3, Loss T10, Corr T10, Loss T17, Corr T17
3,Log,c-specific 2 default nn.Linear stacking,1000,46.1,9.79e-7,3.44e-4,2.71e-6,,,20,0.975,12880,0.973
3,Log,c-specific 2 layer with standard normal init,1000,22.3,3.07,1.233,4.42e-6,,,N/A,0.657,N/A,0.785
3,Log,c-specific 2 layer with Kaiming init,1000,7.8,2.12e-6,3.66e-4,2.93e-6,,,21,0.975,13470,0.973
3,Log,c-specific 1 layer with Kaiming init,1000,7.2,4.31,0.989,7.74e-2,,,
3,Raw,c-specific 2 default nn.Linear stacking,1000,156,1.42e4,0.268,1.58e-5,,,24840,0.677,13550,0.973
3,Raw,c-specific 2 layer with standard normal init,1000,57.1,4.89e4,4.174,1.56e-5,,,25585,0.476,121846,0.969
3,Raw,c-specific 2 layer with Kaiming init,1000,25.8,1.09e4,0.269,5.08e-6,,,24772,0.675,6257,0.973
3,Raw,c-specific 1 layer with standard normal init,1000,21.1,3.41e4,8.699,0.332,,,20324,0.736,81343,0.929
3,Raw,c-specific 1 layer with Kaiming init,1000,19.9,3.95e4,6.999,0.277,,,22851,0.747,95406,0.883
4,Log,c-specific 2 layer with Kaiming init,1000,9.6,1.58e-5,4.67e-4,3.15e-6,0.013,0.889,61,0.975,24756,0.973
4,Log,c-specific 1 layer with Kaiming init,1000,7.6,6.01,0.754,0.114,33,0.481,24993,0.58,5620486,0.395
4,Log,c-specific 2 layer with Kaiming init (no offset),1000,8.7,1.62e-5,4.3e-4,4.15e-6,0.015,0.889,37,0.975,11848,0.973
4,Log,c-specific 1 layer with Kaiming init (no offset),1000,7.3,6.305,0.941,0.122,33,0.460,24551,0.601,11064077,0.503
4,Raw,c-specific 2 layer with Kaiming init,1000,18.4,9.98e3,6.56e-4,1.38e-2,103,0.125,29114,0.629,14126,0.973
4,Raw,c-specific 1 layer with Kaiming init,1000,20.4,2.22e5,5.091,0.306,132,0.305,29828,0.668,857593,0.779
4,Shrink 1e5,c-specific 2 layer with Kaiming init,1000,10.3,0.779,2.91e-4,0.055,17412,0.091,230084,0.553,2085241,0.952
4,Shrink 1e5,c-specific 1 layer with Kaiming init,1000,10.2,7.226,5.54e-5,0.158
